TAXON_NAME,START_DATE,PARENT_NAME,TROPHY
Chaetoceros (Hyalochaete),2012-08-07 00:00:00,Chaetoceros spp.,(null)
Chaetoceros (Phaeoceros),2012-08-07 00:00:00,Chaetoceros spp.,(null)
Dactyliosolen fragilissimus <150 µm length,2012-08-07 00:00:00,Dactyliosolen fragilissimus,phytoplankton
Dactyliosolen fragilissimus >150 µm length,2012-08-07 00:00:00,Dactyliosolen fragilissimus,phytoplankton
Eucampia zodiacus,2008-09-29 00:00:00,Eucampia spp. >100 µm cell length,phytoplankton
Hemiaulus sinensis,2012-08-07 00:00:00,Hemiaulus spp.,(null)
Hemiaulus indicus,2012-08-07 00:00:00,Hemiaulus spp.,(null)
Hemiaulus membranaceus,2012-08-07 00:00:00,Hemiaulus spp.,(null)
Hemiaulus hauckii,2012-08-07 00:00:00,Hemiaulus spp.,(null)
Leptocylindrus mediterraneus (no flagellates),2016-11-01 00:00:00,Leptocylindrus mediterraneus,phytoplankton
Leptocylindrus mediterraneus (with flagellates),2016-11-01 00:00:00,Leptocylindrus mediterraneus,phytoplankton
Licmophora ehrenbergii,2012-08-07 00:00:00,Licmophora spp. < 150 µm,(null)
Odontella aurita,2008-09-29 00:00:00,Odontella spp. ~50 µm cell length,phytoplankton
Odontella mobiliensis,2012-08-07 00:00:00,Odontella spp. ~50 µm cell length,phytoplankton
Odontella sinensis,2012-08-07 00:00:00,Odontella spp. ~50 µm cell length,phytoplankton
Pennate diatom 25 - 50 µm,2015-02-11 00:00:00,Pennate diatom > 10 µm,(null)
Pennate diatom 50 - 75 µm,2015-02-11 00:00:00,Pennate diatom > 10 µm,(null)
Pennate diatom > 100 µm,2015-02-11 00:00:00,Pennate diatom > 10 µm,(null)
Pennate diatom 10 - 25 µm,2015-02-11 00:00:00,Pennate diatom > 10 µm,(null)
Rhizosolenia fallax,2015-02-01 00:00:00,Rhizosolenia fallax group,(null)
Rhizosolenia imbricata,2015-02-01 00:00:00,Rhizosolenia imbricata group,phytoplankton
Rhizosolenia setigera,2015-02-01 00:00:00,Rhizosolenia setigera group,phytoplankton
Rhizosolenia styliformis,2008-09-29 00:00:00,Rhizosolenia styliformis group,phytoplankton
Tripos lunula,2012-08-07 00:00:00,Tripos spp.,mixoplankton
Tripos teres,2012-08-07 00:00:00,Tripos spp.,mixoplankton
Tripos paradoxides,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos kofoidii,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos vultur,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos setaceus,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos biceps,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos tenuis,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos azoricus,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos declinatus,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,(null)
Tripos concilians,2012-08-07 00:00:00,Tripos spp.,(null)
Phaeocystis spp. (solitary),2012-08-07 00:00:00,Unid dinoflagellate < 10 µm,(null)
Unid dinoflagellate 30 - 50 µm,2015-02-01 00:00:00,Unid dinoflagellate > 10 µm,(null)
Unid dinoflagellate > 50 µm,2015-02-01 00:00:00,Unid dinoflagellate > 10 µm,(null)
Unid dinoflagellate 10 - 30 µm,2015-02-01 00:00:00,Unid dinoflagellate > 10 µm,(null)
